"date","era5_ghi"
"2006-01-01",1142.9
"2006-01-02",579.4
"2006-01-03",778.9
"2006-01-04",1176.5
"2006-01-05",869.2
"2006-01-06",1136.8
"2006-01-07",2668.4
"2006-01-08",2342.4
"2006-01-09",2083.1
"2006-01-10",793
"2006-01-11",1720.2
"2006-01-12",2846.1
"2006-01-13",393
"2006-01-14",2929.9
"2006-01-15",1998.3
"2006-01-16",2453.1
"2006-01-17",996.6
"2006-01-18",2982.6
"2006-01-19",2870.3
"2006-01-20",639.9
"2006-01-21",2905.2
"2006-01-22",1517.5
"2006-01-23",2667.6
"2006-01-24",3082.5
"2006-01-25",2619
"2006-01-26",3278
"2006-01-27",2603.5
"2006-01-28",1516.6
"2006-01-29",1024.6
"2006-01-30",1313.6
"2006-01-31",2833.1
"2006-02-01",3331.6
"2006-02-02",1736
"2006-02-03",3243.7
"2006-02-04",1480.9
"2006-02-05",3684.9
"2006-02-06",3886.9
"2006-02-07",3518.3
"2006-02-08",3067.1
"2006-02-09",3451.6
"2006-02-10",3346.9
"2006-02-11",3541.1
"2006-02-12",2246.2
"2006-02-13",4043.6
"2006-02-14",4117.6
"2006-02-15",2740.9
"2006-02-16",1186.9
"2006-02-17",3858.9
"2006-02-18",4402.1
"2006-02-19",3653.8
"2006-02-20",4240.6
"2006-02-21",4558.8
"2006-02-22",4266.5
"2006-02-23",4666.3
"2006-02-24",4454.4
"2006-02-25",4763.1
"2006-02-26",4918.8
"2006-02-27",4539.2
"2006-02-28",4225.9
"2006-03-01",3429.7
"2006-03-02",2895.3
"2006-03-03",5025
"2006-03-04",5163.8
"2006-03-05",1295.4
"2006-03-06",3097.9
"2006-03-07",4974.4
"2006-03-08",1693.9
"2006-03-09",847
"2006-03-10",3224
"2006-03-11",2174.8
"2006-03-12",1612.8
"2006-03-13",4547.8
"2006-03-14",5701
"2006-03-15",5650.5
"2006-03-16",4511.1
"2006-03-17",5076
"2006-03-18",5677.5
"2006-03-19",5460.4
"2006-03-20",2810.6
"2006-03-21",3493.6
"2006-03-22",6221
"2006-03-23",3809.1
"2006-03-24",4455.9
"2006-03-25",5259.3
"2006-03-26",4343.3
"2006-03-27",3357.5
"2006-03-28",1562.4
"2006-03-29",3236.9
"2006-03-30",5723.3
"2006-03-31",5290.3
"2006-04-01",4885.4
"2006-04-02",3423.4
"2006-04-03",2402.2
"2006-04-04",6875.5
"2006-04-05",6642.5
"2006-04-06",1860.8
"2006-04-07",6232
"2006-04-08",6554.7
"2006-04-09",7010.6
"2006-04-10",6945.7
"2006-04-11",5685.1
"2006-04-12",6509.9
"2006-04-13",6967.9
"2006-04-14",5476.1
"2006-04-15",6651.1
"2006-04-16",4964.4
"2006-04-17",5448.9
