"date","era5_ghi"
"2006-01-01",530.7
"2006-01-02",572.4
"2006-01-03",738.7
"2006-01-04",678.1
"2006-01-05",498.5
"2006-01-06",830.5
"2006-01-07",814.9
"2006-01-08",846.6
"2006-01-09",1073.8
"2006-01-10",520
"2006-01-11",157.3
"2006-01-12",377.7
"2006-01-13",1038.4
"2006-01-14",1181.9
"2006-01-15",1230.2
"2006-01-16",618.1
"2006-01-17",283.2
"2006-01-18",1090.2
"2006-01-19",193.5
"2006-01-20",269
"2006-01-21",1027.3
"2006-01-22",648
"2006-01-23",1416.9
"2006-01-24",1417.9
"2006-01-25",889.8
"2006-01-26",827.3
"2006-01-27",939.3
"2006-01-28",1645.2
"2006-01-29",1682.8
"2006-01-30",774.4
"2006-01-31",984.3
"2006-02-01",1207.3
"2006-02-02",699.5
"2006-02-03",717.9
"2006-02-04",837
"2006-02-05",257.2
"2006-02-06",715.6
"2006-02-07",651.5
"2006-02-08",1531.2
"2006-02-09",1760.3
"2006-02-10",1516.6
"2006-02-11",1360.7
"2006-02-12",795.8
"2006-02-13",913.4
"2006-02-14",887.5
"2006-02-15",821.7
"2006-02-16",1387
"2006-02-17",717.7
"2006-02-18",1131.1
"2006-02-19",1246.6
"2006-02-20",870.1
"2006-02-21",909.9
"2006-02-22",1050.4
"2006-02-23",1741.5
"2006-02-24",2793
"2006-02-25",2877.3
"2006-02-26",1905.5
"2006-02-27",2262.5
"2006-02-28",1920.4
"2006-03-01",2142.9
"2006-03-02",2911.6
"2006-03-03",2309.2
"2006-03-04",2938.8
"2006-03-05",2809.7
"2006-03-06",2984
"2006-03-07",2485.8
"2006-03-08",331
"2006-03-09",659.8
"2006-03-10",2132.1
"2006-03-11",3203.1
"2006-03-12",3249.4
"2006-03-13",3974
"2006-03-14",3829.9
"2006-03-15",3880.3
"2006-03-16",1424.2
"2006-03-17",1831.9
"2006-03-18",2861
"2006-03-19",2425.5
"2006-03-20",2868.7
"2006-03-21",2752.1
"2006-03-22",2855
"2006-03-23",4631.4
"2006-03-24",1890.7
"2006-03-25",2375.4
"2006-03-26",2590.8
"2006-03-27",2968.8
"2006-03-28",3882
"2006-03-29",3880.6
"2006-03-30",2493.2
"2006-03-31",3579.4
"2006-04-01",2852
"2006-04-02",2924.7
"2006-04-03",4026.1
"2006-04-04",4348.6
"2006-04-05",4841.2
"2006-04-06",4236.3
"2006-04-07",4584.6
"2006-04-08",3185.7
"2006-04-09",5066.5
"2006-04-10",4301
"2006-04-11",3209.6
"2006-04-12",4956.4
"2006-04-13",2604.5
"2006-04-14",4374.2
"2006-04-15",3631.4
"2006-04-16",4408
"2006-04-17",4847.6
"2006-04-18",4869.2
"2006-04-19",4237.7
"2006-04-20",3521.4
"2006-04-21",4308.8
"2006-04-22",2485.7
"2006-04-23",4707.3
"2006-04-24",4542.2
"2006-04-25",5300.6
"2006-04-26",3684.6
"2006-04-27",4940.7
"2006-04-28",4836.3
"2006-04-29",5726.4
"2006-04-30",5272.8
"2006-05-01",2401.4
"2006-05-02",5147
"2006-05-03",6220.8
"2006-05-04",6321.5
"2006-05-05",5964.9
"2006-05-06",6520.2
"2006-05-07",5046.8
"2006-05-08",6372.1
"2006-05-09",6640
"2006-05-10",6886.2
"2006-05-11",6738.9
"2006-05-12",6453.1
"2006-05-13",6096.6
"2006-05-14",5542.2
"2006-05-15",4775.4
"2006-05-16",3758.5
"2006-05-17",4772.6
"2006-05-18",5448.3
"2006-05-19",3538.1
"2006-05-20",3099.4
"2006-05-21",3633.4
