"date","era5_ghi"
"2006-01-01",2413.7
"2006-01-02",1549.5
"2006-01-03",789.3
"2006-01-04",1777.2
"2006-01-05",2799
"2006-01-06",886.1
"2006-01-07",3114.3
"2006-01-08",2964.2
"2006-01-09",3020.2
"2006-01-10",2950.1
"2006-01-11",1877.8
"2006-01-12",2283
"2006-01-13",1956.8
"2006-01-14",1871.9
"2006-01-15",3461.4
"2006-01-16",2790.6
"2006-01-17",1710
"2006-01-18",1489.6
"2006-01-19",3344.2
"2006-01-20",3410.3
"2006-01-21",1781.3
"2006-01-22",1212
"2006-01-23",1321.1
"2006-01-24",2304.9
"2006-01-25",3480.2
"2006-01-26",3490.3
"2006-01-27",3794.1
"2006-01-28",3668
"2006-01-29",1330.8
"2006-01-30",2458.5
"2006-01-31",1160.7
"2006-02-01",3797.5
"2006-02-02",3640.4
"2006-02-03",2393.6
"2006-02-04",1155.1
"2006-02-05",3515
"2006-02-06",4061.1
"2006-02-07",3423.2
"2006-02-08",3989.1
"2006-02-09",3757
"2006-02-10",4048.7
"2006-02-11",863.9
"2006-02-12",2885.9
"2006-02-13",4280.4
"2006-02-14",4471.7
"2006-02-15",4478.9
"2006-02-16",4487.6
"2006-02-17",2877.9
"2006-02-18",1434.1
"2006-02-19",4156.1
"2006-02-20",3330.2
"2006-02-21",3662.8
"2006-02-22",1495.1
"2006-02-23",2362.3
"2006-02-24",5055.7
"2006-02-25",4160
"2006-02-26",4134.5
"2006-02-27",4431
"2006-02-28",3445.7
"2006-03-01",3587.7
"2006-03-02",4395.2
"2006-03-03",4410.5
"2006-03-04",5425.6
"2006-03-05",5537.6
"2006-03-06",1584.6
"2006-03-07",5044.2
"2006-03-08",5449.1
"2006-03-09",4588.8
"2006-03-10",4432.2
"2006-03-11",5414.1
"2006-03-12",4464.9
"2006-03-13",5201.8
"2006-03-14",2942.3
"2006-03-15",5915.4
"2006-03-16",5817.7
"2006-03-17",5337.8
"2006-03-18",6236.4
"2006-03-19",6279.8
"2006-03-20",5030.1
"2006-03-21",934.3
"2006-03-22",5901.2
"2006-03-23",6077
"2006-03-24",4312.6
"2006-03-25",3961.2
"2006-03-26",6274.2
"2006-03-27",6577.2
"2006-03-28",6033.9
"2006-03-29",6054.3
"2006-03-30",6353.6
"2006-03-31",6297.3
