"date","era5_ghi"
"2006-01-01",1780.7
"2006-01-02",1468.6
"2006-01-03",2980.8
"2006-01-04",3072.8
"2006-01-05",3232.2
"2006-01-06",3214.6
"2006-01-07",3302.2
"2006-01-08",3326.3
"2006-01-09",3349.6
"2006-01-10",3453.4
"2006-01-11",2884.2
"2006-01-12",3365.4
"2006-01-13",3409.2
"2006-01-14",3000.8
"2006-01-15",3200.3
"2006-01-16",3591.3
"2006-01-17",3408.9
"2006-01-18",3547.2
"2006-01-19",3638.1
"2006-01-20",3757.8
"2006-01-21",3747.5
"2006-01-22",3530.7
"2006-01-23",3821.1
"2006-01-24",3737.9
"2006-01-25",3695.1
"2006-01-26",3850.6
"2006-01-27",3881.5
"2006-01-28",3594.9
"2006-01-29",3862.2
"2006-01-30",3955.9
"2006-01-31",4110.1
"2006-02-01",4065.3
"2006-02-02",4032.5
"2006-02-03",4111.1
"2006-02-04",3819.2
"2006-02-05",4446.6
"2006-02-06",4431.1
"2006-02-07",4578.6
"2006-02-08",4519.7
"2006-02-09",4644.6
"2006-02-10",4620.8
"2006-02-11",4723.6
"2006-02-12",4188.3
"2006-02-13",4731.5
"2006-02-14",4698.2
"2006-02-15",3624.4
"2006-02-16",4919.4
"2006-02-17",4975.8
"2006-02-18",4569.5
"2006-02-19",3586.5
"2006-02-20",4775.5
"2006-02-21",5300
"2006-02-22",5236.4
"2006-02-23",5288.2
"2006-02-24",5355.8
"2006-02-25",5377.6
"2006-02-26",5006.7
"2006-02-27",3947.5
"2006-02-28",4122.4
"2006-03-01",5290.9
"2006-03-02",5640.6
"2006-03-03",3855.9
"2006-03-04",5699.1
"2006-03-05",5533.4
"2006-03-06",3832.2
"2006-03-07",4790.8
"2006-03-08",5973.3
"2006-03-09",5762.9
"2006-03-10",4490.6
"2006-03-11",5000.4
"2006-03-12",5695.5
"2006-03-13",6038
"2006-03-14",6230.6
"2006-03-15",6333.6
"2006-03-16",5287.4
"2006-03-17",5235.1
"2006-03-18",3934.9
"2006-03-19",5654.7
"2006-03-20",5957.1
"2006-03-21",5187.4
"2006-03-22",6695.2
"2006-03-23",6698.2
"2006-03-24",6416.1
"2006-03-25",6473.8
"2006-03-26",6805
"2006-03-27",6409.3
"2006-03-28",3691
"2006-03-29",5827
"2006-03-30",6282.8
"2006-03-31",4035.6
"2006-04-01",5058.8
"2006-04-02",6830.7
"2006-04-03",5736.3
"2006-04-04",4855.8
"2006-04-05",5442.5
"2006-04-06",7368.9
"2006-04-07",7300.5
"2006-04-08",7412
"2006-04-09",7535.3
"2006-04-10",6184.1
"2006-04-11",7205.9
"2006-04-12",7590.4
"2006-04-13",7606
"2006-04-14",4073.7
"2006-04-15",5913.2
"2006-04-16",7781.6
"2006-04-17",7570.4
"2006-04-18",8053.7
"2006-04-19",8007.2
"2006-04-20",8078.1
"2006-04-21",7008.7
"2006-04-22",8014.8
"2006-04-23",6916.7
"2006-04-24",6913.7
"2006-04-25",7938.8
"2006-04-26",7518.4
"2006-04-27",5825.5
"2006-04-28",8057.8
"2006-04-29",7966.4
"2006-04-30",7721.7
"2006-05-01",7854
