"date","era5_ghi"
"2006-01-01",3145.4
"2006-01-02",2510.6
"2006-01-03",3431.8
"2006-01-04",1390.2
"2006-01-05",1996.5
"2006-01-06",1706.8
"2006-01-07",2099.4
"2006-01-08",2637.5
"2006-01-09",2260.4
"2006-01-10",3235.1
"2006-01-11",3518.7
"2006-01-12",3402.2
"2006-01-13",1321.7
"2006-01-14",630.5
"2006-01-15",2217.2
"2006-01-16",1448.6
"2006-01-17",2155.6
"2006-01-18",2019.7
"2006-01-19",1905
"2006-01-20",1086.5
"2006-01-21",1512.2
"2006-01-22",3452.7
"2006-01-23",2889.7
"2006-01-24",3513
"2006-01-25",3479.8
"2006-01-26",3781.4
"2006-01-27",2950.2
"2006-01-28",3835.4
"2006-01-29",2403.1
"2006-01-30",878.4
"2006-01-31",2420.4
"2006-02-01",1864.6
"2006-02-02",3840.2
"2006-02-03",3064.4
"2006-02-04",3363.1
"2006-02-05",3475.3
"2006-02-06",473.4
"2006-02-07",3474
"2006-02-08",1895.6
"2006-02-09",3138.7
"2006-02-10",2398.7
"2006-02-11",2290.5
"2006-02-12",4419.2
"2006-02-13",4848.1
"2006-02-14",1059.2
"2006-02-15",811
"2006-02-16",747.6
"2006-02-17",3886
"2006-02-18",3301.4
"2006-02-19",2877.5
"2006-02-20",2585.6
"2006-02-21",4909.1
"2006-02-22",1772.9
"2006-02-23",3933.4
"2006-02-24",4999.1
"2006-02-25",3312.5
"2006-02-26",2390.9
"2006-02-27",4883.1
"2006-02-28",3378.7
"2006-03-01",739.4
"2006-03-02",4234.8
"2006-03-03",3933.3
"2006-03-04",5504.3
"2006-03-05",4894.5
"2006-03-06",1088.5
"2006-03-07",5249.3
"2006-03-08",4878.8
"2006-03-09",2609.5
"2006-03-10",5568.1
"2006-03-11",4285.4
"2006-03-12",1852.3
"2006-03-13",3729.5
"2006-03-14",4513.3
"2006-03-15",5834.7
"2006-03-16",1150.8
"2006-03-17",6084.8
"2006-03-18",1034.3
"2006-03-19",4151.1
"2006-03-20",6344.8
"2006-03-21",2526.1
"2006-03-22",1861.4
"2006-03-23",5564.6
"2006-03-24",5483.3
"2006-03-25",6593.5
"2006-03-26",3221.2
"2006-03-27",5891.6
"2006-03-28",4581.5
"2006-03-29",6106.2
"2006-03-30",6152.7
"2006-03-31",6878.1
"2006-04-01",2719.2
"2006-04-02",3231.3
"2006-04-03",6905.9
"2006-04-04",2848.9
"2006-04-05",1973.5
"2006-04-06",5214.4
"2006-04-07",6813.9
"2006-04-08",7041.6
"2006-04-09",3130.7
"2006-04-10",641.6
"2006-04-11",3681.6
"2006-04-12",3771.9
"2006-04-13",2578.8
"2006-04-14",2880.2
"2006-04-15",535.3
"2006-04-16",7231.5
"2006-04-17",7330.3
"2006-04-18",6826.8
"2006-04-19",6336.2
"2006-04-20",4593
"2006-04-21",7083.2
"2006-04-22",1034.8
"2006-04-23",5528.6
"2006-04-24",7562.9
"2006-04-25",7634.5
"2006-04-26",2205
"2006-04-27",6222
"2006-04-28",7689.5
"2006-04-29",6676.4
"2006-04-30",7050.4
"2006-05-01",1739.6
"2006-05-02",4517.2
"2006-05-03",7894.4
"2006-05-04",7516.8
"2006-05-05",7005.7
"2006-05-06",2426.5
"2006-05-07",2124.1
"2006-05-08",4770.7
"2006-05-09",4879.8
"2006-05-10",758.6
"2006-05-11",3640.4
"2006-05-12",4358.3
"2006-05-13",2204.3
"2006-05-14",6538.4
"2006-05-15",4252.3
"2006-05-16",2623.4
"2006-05-17",689.4
"2006-05-18",2573.9
"2006-05-19",2282.2
"2006-05-20",6704.6
"2006-05-21",7683.3
"2006-05-22",3783.4
"2006-05-23",3985.6
"2006-05-24",7780.7
"2006-05-25",6960.8
"2006-05-26",1208.6
"2006-05-27",2391.3
"2006-05-28",5136.9
"2006-05-29",4386
"2006-05-30",6502.7
"2006-05-31",6904.6
"2006-06-01",6072.8
"2006-06-02",3839
"2006-06-03",7154.4
"2006-06-04",4031.9
"2006-06-05",6246.4
"2006-06-06",6408.3
"2006-06-07",7572.3
"2006-06-08",1418.6
"2006-06-09",6575.8
"2006-06-10",4701.9
"2006-06-11",6053.4
"2006-06-12",5970.7
"2006-06-13",7149.2
"2006-06-14",5392.7
"2006-06-15",3825
"2006-06-16",6336
"2006-06-17",4417.4
"2006-06-18",6673.2
"2006-06-19",7781.7
