"date","era5_ghi"
"2006-01-01",694.1
"2006-01-02",3103
"2006-01-03",3290.6
"2006-01-04",3183.5
"2006-01-05",3305.8
"2006-01-06",2021
"2006-01-07",3412.7
"2006-01-08",3313.3
"2006-01-09",642.9
"2006-01-10",1126
"2006-01-11",3609.2
"2006-01-12",2827.3
"2006-01-13",2480.3
"2006-01-14",3677.4
"2006-01-15",2037.6
"2006-01-16",1883.8
"2006-01-17",517.9
"2006-01-18",3760
"2006-01-19",3612.9
"2006-01-20",1267.7
"2006-01-21",2906.2
"2006-01-22",312.1
"2006-01-23",1904.6
"2006-01-24",3935.2
"2006-01-25",4051.1
"2006-01-26",3701.2
"2006-01-27",3656.1
"2006-01-28",947.3
"2006-01-29",4077.4
"2006-01-30",3180.7
"2006-01-31",4209.2
"2006-02-01",3135.5
"2006-02-02",1146.5
"2006-02-03",1244.3
"2006-02-04",4402.7
"2006-02-05",3898.8
"2006-02-06",821.6
"2006-02-07",4551.1
"2006-02-08",3378.2
"2006-02-09",4682
"2006-02-10",1553.2
"2006-02-11",3882.5
"2006-02-12",3870.5
"2006-02-13",4816.5
"2006-02-14",4304.7
"2006-02-15",2999.6
"2006-02-16",2508.1
"2006-02-17",1184.1
"2006-02-18",536.2
"2006-02-19",1673.8
"2006-02-20",821.4
"2006-02-21",3226.2
"2006-02-22",820.8
"2006-02-23",4143.8
"2006-02-24",4737.4
"2006-02-25",1323.6
"2006-02-26",5437.8
"2006-02-27",5294.3
"2006-02-28",4227.1
"2006-03-01",5176.3
"2006-03-02",5217.7
"2006-03-03",5565.2
"2006-03-04",5520
"2006-03-05",3639.2
"2006-03-06",5576.7
"2006-03-07",5644.1
"2006-03-08",3621.4
"2006-03-09",1026.6
"2006-03-10",5838.5
"2006-03-11",3442.3
"2006-03-12",3745.8
"2006-03-13",1774.8
"2006-03-14",6266.1
"2006-03-15",6211.6
"2006-03-16",3375.3
"2006-03-17",6143.5
"2006-03-18",5525.2
"2006-03-19",1341
"2006-03-20",1044
"2006-03-21",2192.1
"2006-03-22",6476.7
"2006-03-23",3220.8
"2006-03-24",5728.9
"2006-03-25",5938.4
"2006-03-26",6697.5
"2006-03-27",3882.5
"2006-03-28",6037.3
"2006-03-29",6656.1
"2006-03-30",6293.2
"2006-03-31",3013.4
"2006-04-01",3396.4
"2006-04-02",3422.7
"2006-04-03",6823.4
"2006-04-04",6977.9
"2006-04-05",5390.7
"2006-04-06",4318.4
"2006-04-07",3533
"2006-04-08",3616
"2006-04-09",7386.4
"2006-04-10",7319.1
"2006-04-11",7098.3
"2006-04-12",6812.2
"2006-04-13",7021.4
"2006-04-14",6865.4
"2006-04-15",7129.2
"2006-04-16",5561.6
"2006-04-17",6812.1
"2006-04-18",7172.2
"2006-04-19",6363.8
"2006-04-20",3041.3
"2006-04-21",2827.6
"2006-04-22",7474.8
"2006-04-23",7369.3
"2006-04-24",7286.1
"2006-04-25",5454.9
"2006-04-26",2006.3
"2006-04-27",7811.3
"2006-04-28",7275.2
"2006-04-29",2596.7
"2006-04-30",5478.7
"2006-05-01",6815.7
"2006-05-02",6525.6
"2006-05-03",6746.7
"2006-05-04",4622.4
"2006-05-05",5386.2
"2006-05-06",4369.6
"2006-05-07",4743.8
"2006-05-08",4561.1
"2006-05-09",4454.8
"2006-05-10",2901.7
"2006-05-11",7121
"2006-05-12",8180.6
"2006-05-13",5604.9
"2006-05-14",6907.8
"2006-05-15",5258.2
"2006-05-16",6464.4
"2006-05-17",6706.8
"2006-05-18",7991.9
"2006-05-19",7990.4
"2006-05-20",7860.2
"2006-05-21",7682.8
"2006-05-22",7350.1
"2006-05-23",6678.2
"2006-05-24",7333.4
"2006-05-25",7153
"2006-05-26",7619.6
"2006-05-27",7385.6
"2006-05-28",7274
"2006-05-29",5756.6
"2006-05-30",7017.7
"2006-05-31",5932.7
"2006-06-01",6740.6
"2006-06-02",5759.8
"2006-06-03",8271.7
"2006-06-04",6207.8
"2006-06-05",8271.1
"2006-06-06",6693.9
"2006-06-07",6322.9
"2006-06-08",7661
"2006-06-09",8246.6
"2006-06-10",8162.1
"2006-06-11",8152.4
"2006-06-12",7523.6
"2006-06-13",7615.3
"2006-06-14",8300.4
"2006-06-15",8249.1
"2006-06-16",6310.7
"2006-06-17",6102.9
"2006-06-18",5345.5
"2006-06-19",6743.9
"2006-06-20",7454.6
"2006-06-21",7331.6
"2006-06-22",7338.4
"2006-06-23",7272.4
"2006-06-24",5210.6
"2006-06-25",6834.6
"2006-06-26",6776.9
"2006-06-27",6756.7
"2006-06-28",8038.4
"2006-06-29",7808.9
"2006-06-30",7053.8
"2006-07-01",6999.5
"2006-07-02",7458.1
"2006-07-03",7366.1
"2006-07-04",6020.1
"2006-07-05",2932.8
"2006-07-06",6817.4
"2006-07-07",8402.5
"2006-07-08",7179.6
"2006-07-09",6985.2
"2006-07-10",5026.8
"2006-07-11",5970.4
"2006-07-12",7063.3
"2006-07-13",6244.7
"2006-07-14",7443.2
"2006-07-15",6620.6
"2006-07-16",7782.3
"2006-07-17",7776
"2006-07-18",7761.7
"2006-07-19",7424.2
"2006-07-20",7047.2
"2006-07-21",7520.1
"2006-07-22",5639.7
"2006-07-23",7380.7
"2006-07-24",6257.6
"2006-07-25",6200.3
"2006-07-26",4324.1
"2006-07-27",5309.8
"2006-07-28",2833.5
"2006-07-29",6229.2
"2006-07-30",6952.7
"2006-07-31",6430.7
"2006-08-01",6866.3
"2006-08-02",6899.8
"2006-08-03",7560.6
"2006-08-04",6819.7
"2006-08-05",6412
"2006-08-06",6593.2
"2006-08-07",7246.5
"2006-08-08",6773.4
"2006-08-09",6804.7
"2006-08-10",6143.5
"2006-08-11",5158.1
"2006-08-12",3547.6
"2006-08-13",6274.8
"2006-08-14",6531.5
"2006-08-15",6225.8
"2006-08-16",6526.2
"2006-08-17",7065.1
"2006-08-18",6110.3
"2006-08-19",6410
"2006-08-20",6696.8
"2006-08-21",5373.4
"2006-08-22",3806.7
"2006-08-23",6291
"2006-08-24",6837
"2006-08-25",6055
"2006-08-26",5227.4
"2006-08-27",4658
"2006-08-28",5121
"2006-08-29",4333.4
"2006-08-30",3823.7
"2006-08-31",4149.9
"2006-09-01",5065.2
"2006-09-02",5198.1
"2006-09-03",3373.5
"2006-09-04",5447.8
"2006-09-05",6136.5
"2006-09-06",6349.1
"2006-09-07",6438.9
"2006-09-08",5654.3
"2006-09-09",4643.4
"2006-09-10",5341.1
"2006-09-11",4947.4
"2006-09-12",4347
"2006-09-13",6321.5
"2006-09-14",6221.4
"2006-09-15",6381.6
"2006-09-16",6287.7
"2006-09-17",4184.2
"2006-09-18",1110.2
"2006-09-19",6258.2
"2006-09-20",6244
"2006-09-21",6141.1
"2006-09-22",3391.5
"2006-09-23",4653.8
"2006-09-24",5482.5
"2006-09-25",5401.6
"2006-09-26",5885.8
"2006-09-27",5131.5
"2006-09-28",5262.5
"2006-09-29",5821.6
"2006-09-30",5401
"2006-10-01",5144.6
"2006-10-02",4365.6
"2006-10-03",4728.7
"2006-10-04",4523.2
"2006-10-05",4398.6
"2006-10-06",4851.1
"2006-10-07",5639.4
"2006-10-08",5372.5
"2006-10-09",5219.5
"2006-10-10",3024.6
"2006-10-11",3372.2
"2006-10-12",3410.5
"2006-10-13",5334.1
"2006-10-14",5111.9
"2006-10-15",2956.1
"2006-10-16",351.8
"2006-10-17",3201.5
"2006-10-18",4746.6
"2006-10-19",1085.7
"2006-10-20",4829.8
"2006-10-21",4807.2
"2006-10-22",4797.5
"2006-10-23",4827.4
"2006-10-24",4744.6
"2006-10-25",1152.4
"2006-10-26",730.6
"2006-10-27",2852.1
"2006-10-28",4526.9
"2006-10-29",4314
"2006-10-30",3437
"2006-10-31",1806.4
"2006-11-01",642
"2006-11-02",4390.2
"2006-11-03",4389.4
"2006-11-04",4311.6
"2006-11-05",3259.4
"2006-11-06",445.4
"2006-11-07",807
"2006-11-08",3705.9
"2006-11-09",3870.3
"2006-11-10",1855.5
"2006-11-11",3843.9
"2006-11-12",4065
"2006-11-13",3065.6
"2006-11-14",1658
"2006-11-15",2117.9
"2006-11-16",1475.7
"2006-11-17",3567.4
"2006-11-18",3755.2
"2006-11-19",3363.4
"2006-11-20",3803.6
"2006-11-21",3725.8
"2006-11-22",3750.2
"2006-11-23",3727.3
"2006-11-24",3657.9
"2006-11-25",3561.8
"2006-11-26",2922.8
"2006-11-27",2730.1
"2006-11-28",599.5
"2006-11-29",2009.3
"2006-11-30",929.7
"2006-12-01",3495.9
"2006-12-02",3128.7
"2006-12-03",3396.4
"2006-12-04",3556.5
"2006-12-05",3427.2
"2006-12-06",3075.6
"2006-12-07",3146.2
"2006-12-08",3532.3
"2006-12-09",3402.8
"2006-12-10",2444.2
"2006-12-11",868.4
"2006-12-12",825.2
"2006-12-13",2994
"2006-12-14",3208.5
"2006-12-15",3207.4
"2006-12-16",2976.1
"2006-12-17",3119.9
"2006-12-18",2834.9
"2006-12-19",730.3
"2006-12-20",1799.4
"2006-12-21",495.7
"2006-12-22",2594.5
"2006-12-23",3281
"2006-12-24",1521.6
"2006-12-25",375
"2006-12-26",2570.1
"2006-12-27",3280.7
"2006-12-28",3189.2
"2006-12-29",1675.3
"2006-12-30",485
"2006-12-31",2980.7
"2007-01-01",3282.9
"2007-01-02",3433.4
"2007-01-03",3345.4
"2007-01-04",491.8
"2007-01-05",2291.1
"2007-01-06",2223.5
"2007-01-07",1292.3
"2007-01-08",3533.1
"2007-01-09",3511.7
"2007-01-10",3544.3
"2007-01-11",2720.1
"2007-01-12",1481.3
"2007-01-13",1036.2
"2007-01-14",613.9
"2007-01-15",311.7
"2007-01-16",1953.8
"2007-01-17",2052.4
"2007-01-18",1913.3
"2007-01-19",3225.3
"2007-01-20",1130.4
"2007-01-21",1377.1
"2007-01-22",2212.5
"2007-01-23",3214.3
"2007-01-24",2619.9
"2007-01-25",3167.9
"2007-01-26",3980.7
"2007-01-27",1520.6
"2007-01-28",4209.8
"2007-01-29",3972.1
"2007-01-30",4027.4
"2007-01-31",3068.4
"2007-02-01",1800.2
"2007-02-02",3101.7
"2007-02-03",4438.2
"2007-02-04",4312.2
"2007-02-05",4242.1
"2007-02-06",3647.8
"2007-02-07",3384.2
"2007-02-08",1056.1
"2007-02-09",769.1
"2007-02-10",4368.4
"2007-02-11",4523.4
"2007-02-12",2009.2
"2007-02-13",1403.1
"2007-02-14",4501.8
"2007-02-15",4568.4
"2007-02-16",5017.2
"2007-02-17",2738.6
"2007-02-18",4992.8
"2007-02-19",4691.4
"2007-02-20",1795.5
"2007-02-21",2932.1
"2007-02-22",5122.9
"2007-02-23",4860.5
"2007-02-24",1263.9
"2007-02-25",5281
"2007-02-26",5186
"2007-02-27",5347.8
"2007-02-28",4467.7
"2007-03-01",1661.8
"2007-03-02",5487.7
"2007-03-03",5629.8
"2007-03-04",5808.6
"2007-03-05",5706.4
"2007-03-06",5314.8
"2007-03-07",5562.9
"2007-03-08",5602.8
"2007-03-09",4914.4
"2007-03-10",5077.5
"2007-03-11",4753.1
"2007-03-12",4741.4
"2007-03-13",3565.5
"2007-03-14",3537
"2007-03-15",2616.7
"2007-03-16",6112
"2007-03-17",6148.2
"2007-03-18",5671.6
"2007-03-19",4683.7
"2007-03-20",5248.2
"2007-03-21",5317
"2007-03-22",6268.7
"2007-03-23",5942.8
"2007-03-24",5897.1
"2007-03-25",5035.4
"2007-03-26",4778.9
"2007-03-27",4490.9
"2007-03-28",5097.8
"2007-03-29",5358.3
"2007-03-30",5141.1
"2007-03-31",2829.7
"2007-04-01",5169.9
"2007-04-02",5691.9
"2007-04-03",5498.4
"2007-04-04",6950.9
"2007-04-05",7133.5
"2007-04-06",5888.3
"2007-04-07",7325
"2007-04-08",7085.1
"2007-04-09",5757.8
"2007-04-10",3299.3
"2007-04-11",5264.6
"2007-04-12",7316.2
"2007-04-13",5630.1
"2007-04-14",1880
"2007-04-15",6562.3
"2007-04-16",7504.1
"2007-04-17",7084.6
"2007-04-18",5564.1
"2007-04-19",7497.8
"2007-04-20",7477.2
"2007-04-21",7507
"2007-04-22",7475.8
"2007-04-23",4545.6
"2007-04-24",4708
"2007-04-25",3469.8
"2007-04-26",4747.8
"2007-04-27",7430.5
"2007-04-28",6543.5
"2007-04-29",7726.4
"2007-04-30",7708.3
"2007-05-01",6796.3
"2007-05-02",3191.8
"2007-05-03",5705.3
"2007-05-04",4360.1
"2007-05-05",5365.6
"2007-05-06",6585.9
"2007-05-07",7124.2
"2007-05-08",6834.1
"2007-05-09",6328.2
"2007-05-10",6843.4
"2007-05-11",6132.3
"2007-05-12",6747.3
"2007-05-13",7844.4
"2007-05-14",8152.5
"2007-05-15",5686.6
"2007-05-16",6163.4
"2007-05-17",8176.1
"2007-05-18",8381.3
"2007-05-19",8476.9
"2007-05-20",8354
"2007-05-21",8107.5
"2007-05-22",6775
"2007-05-23",7032.4
"2007-05-24",6314.5
"2007-05-25",6605.5
"2007-05-26",5917.6
"2007-05-27",4992.5
"2007-05-28",6217.5
"2007-05-29",4978.8
"2007-05-30",3093.1
"2007-05-31",3751
"2007-06-01",7170.9
"2007-06-02",7363.9
"2007-06-03",6847.8
"2007-06-04",6671.4
"2007-06-05",7976.1
"2007-06-06",7890.6
"2007-06-07",5680.1
"2007-06-08",5468.9
"2007-06-09",5982.4
"2007-06-10",6918.1
"2007-06-11",7106.2
"2007-06-12",6513.9
"2007-06-13",8458.4
"2007-06-14",6361.4
"2007-06-15",5642
"2007-06-16",6748.8
