"date","era5_ghi"
"2006-01-01",6051.8
"2006-01-02",5300.4
"2006-01-03",2786.5
"2006-01-04",5679.2
"2006-01-05",5355.1
"2006-01-06",5358.6
"2006-01-07",5973.7
"2006-01-08",4347.6
"2006-01-09",5550.3
"2006-01-10",5913.1
"2006-01-11",5785.8
"2006-01-12",5351.1
"2006-01-13",5194
"2006-01-14",5268.6
"2006-01-15",4025.9
"2006-01-16",5555.4
"2006-01-17",5741.3
"2006-01-18",3840.5
"2006-01-19",5231
"2006-01-20",5428.4
"2006-01-21",5812.3
"2006-01-22",6009.8
"2006-01-23",4776.1
"2006-01-24",5060.3
"2006-01-25",5472.6
"2006-01-26",6131
"2006-01-27",6174.2
"2006-01-28",6415.4
"2006-01-29",5259.8
"2006-01-30",4349.9
"2006-01-31",6232.4
"2006-02-01",5939.7
"2006-02-02",6264.7
"2006-02-03",6009.7
"2006-02-04",6298.4
"2006-02-05",6330.2
"2006-02-06",5535
"2006-02-07",6030.9
"2006-02-08",5947.4
"2006-02-09",5903.3
"2006-02-10",6250.4
"2006-02-11",6181.7
"2006-02-12",7044
"2006-02-13",5812.5
"2006-02-14",6477.1
"2006-02-15",6170.2
"2006-02-16",6825.9
"2006-02-17",6292
"2006-02-18",6025.3
"2006-02-19",6732.2
"2006-02-20",6864.2
"2006-02-21",6407.8
"2006-02-22",6735.4
"2006-02-23",6075.8
"2006-02-24",4835.2
"2006-02-25",6398.3
"2006-02-26",5777.9
"2006-02-27",6169.8
"2006-02-28",5950.4
"2006-03-01",6183
"2006-03-02",4522.8
"2006-03-03",4911.9
"2006-03-04",5524.9
"2006-03-05",6313
"2006-03-06",6426.6
"2006-03-07",5708.1
"2006-03-08",6637.8
"2006-03-09",7024
"2006-03-10",7236.5
"2006-03-11",6455.4
"2006-03-12",6463.7
"2006-03-13",6304.6
"2006-03-14",6251.4
"2006-03-15",7215.4
"2006-03-16",6994.8
"2006-03-17",6553.7
"2006-03-18",5191.1
"2006-03-19",5569.2
"2006-03-20",6167.7
"2006-03-21",6360.3
"2006-03-22",5983.5
"2006-03-23",5613.9
"2006-03-24",7261.8
"2006-03-25",6989.5
"2006-03-26",7389.1
"2006-03-27",7500.9
"2006-03-28",6949.2
"2006-03-29",6457.9
"2006-03-30",6572.1
"2006-03-31",7350.9
"2006-04-01",6488.5
"2006-04-02",6665
"2006-04-03",7126.3
"2006-04-04",6243.4
"2006-04-05",5276.3
"2006-04-06",6815.1
"2006-04-07",7131.1
"2006-04-08",6616.4
"2006-04-09",6789.4
"2006-04-10",7177.5
"2006-04-11",6892.3
"2006-04-12",7322.8
"2006-04-13",7433.3
"2006-04-14",6938
"2006-04-15",6511.6
"2006-04-16",6413.8
"2006-04-17",6730.9
"2006-04-18",6564.8
"2006-04-19",6830.6
"2006-04-20",5022.4
"2006-04-21",5075.4
"2006-04-22",6567.4
"2006-04-23",6302.9
"2006-04-24",6104.2
"2006-04-25",6058.3
"2006-04-26",5919.6
"2006-04-27",6258.5
"2006-04-28",6680.5
"2006-04-29",5170.6
"2006-04-30",5692
"2006-05-01",5234.6
"2006-05-02",3983.7
"2006-05-03",5547
"2006-05-04",6369.8
"2006-05-05",6648.9
"2006-05-06",6705.8
"2006-05-07",7021.6
"2006-05-08",7015.6
"2006-05-09",6259.2
"2006-05-10",6410.6
"2006-05-11",4517.9
"2006-05-12",6582.7
"2006-05-13",6386.3
"2006-05-14",6796.6
"2006-05-15",6411.5
"2006-05-16",6562.7
"2006-05-17",5600.6
"2006-05-18",4722.9
"2006-05-19",5636.4
"2006-05-20",6313.8
"2006-05-21",6413.7
"2006-05-22",5772.6
"2006-05-23",4040.2
"2006-05-24",6172.1
"2006-05-25",6034.8
"2006-05-26",6196
"2006-05-27",4822.3
"2006-05-28",5341.5
"2006-05-29",6713.2
"2006-05-30",6500.6
"2006-05-31",6732.7
"2006-06-01",6320.7
"2006-06-02",5745.1
"2006-06-03",5977.5
"2006-06-04",6636.9
"2006-06-05",5217.3
"2006-06-06",3757.2
"2006-06-07",5855.6
"2006-06-08",5936.1
"2006-06-09",1119.9
"2006-06-10",5863.5
"2006-06-11",6606
"2006-06-12",5524.1
"2006-06-13",6960.4
"2006-06-14",6311.6
"2006-06-15",5748.4
"2006-06-16",5921.6
"2006-06-17",6476.1
"2006-06-18",6009.8
"2006-06-19",5945.5
"2006-06-20",6154.7
"2006-06-21",5346.5
"2006-06-22",5115.4
"2006-06-23",6067.5
"2006-06-24",6287.8
"2006-06-25",6249.6
"2006-06-26",5640.4
"2006-06-27",6421
"2006-06-28",6591.1
"2006-06-29",6392.7
"2006-06-30",6061.2
"2006-07-01",5354
"2006-07-02",6035.4
"2006-07-03",2323.6
"2006-07-04",3959.2
"2006-07-05",4075
"2006-07-06",5164.5
"2006-07-07",5710.1
"2006-07-08",5748.5
"2006-07-09",4413.3
"2006-07-10",4752.1
"2006-07-11",5223.7
"2006-07-12",4979.4
"2006-07-13",6218
"2006-07-14",3374.5
"2006-07-15",5036.7
"2006-07-16",4814.9
"2006-07-17",6249.9
"2006-07-18",5876.6
"2006-07-19",5634.8
"2006-07-20",2176
"2006-07-21",3231.2
"2006-07-22",5893.3
"2006-07-23",6360.2
"2006-07-24",6585
"2006-07-25",6713.4
"2006-07-26",6521.8
"2006-07-27",6506.3
"2006-07-28",6020.2
"2006-07-29",6441.1
"2006-07-30",6707.5
"2006-07-31",5255
"2006-08-01",3954.3
"2006-08-02",4773.3
"2006-08-03",4663.3
"2006-08-04",6246.9
"2006-08-05",4388.8
"2006-08-06",4981.4
"2006-08-07",3953.4
"2006-08-08",5341.4
"2006-08-09",4747.9
"2006-08-10",6256.3
"2006-08-11",6439.6
"2006-08-12",4944.4
"2006-08-13",6531.1
"2006-08-14",6345.2
"2006-08-15",5275.3
"2006-08-16",4828.6
"2006-08-17",6575
"2006-08-18",6615.8
"2006-08-19",6718
"2006-08-20",5986.3
"2006-08-21",5756.4
"2006-08-22",6917.6
"2006-08-23",6324.4
"2006-08-24",6631.8
"2006-08-25",5716.7
"2006-08-26",5559.8
"2006-08-27",6435.7
"2006-08-28",7141.8
"2006-08-29",6848.1
"2006-08-30",5387.8
"2006-08-31",5985.1
"2006-09-01",6839.6
"2006-09-02",4252.4
"2006-09-03",2941.1
"2006-09-04",6103.7
"2006-09-05",6382.6
"2006-09-06",6240.4
"2006-09-07",5575.3
"2006-09-08",5115.5
"2006-09-09",5738.9
"2006-09-10",5877.5
"2006-09-11",5580.4
"2006-09-12",5056.5
"2006-09-13",5624.2
"2006-09-14",6171.6
"2006-09-15",6829.9
"2006-09-16",6860.6
"2006-09-17",6637.8
"2006-09-18",6606.4
"2006-09-19",6587
"2006-09-20",6742.3
"2006-09-21",5653
"2006-09-22",3418.6
"2006-09-23",5306.6
"2006-09-24",5320.6
"2006-09-25",6023.6
"2006-09-26",4098.4
"2006-09-27",2441.8
"2006-09-28",2790.4
"2006-09-29",6572.8
"2006-09-30",5101.7
"2006-10-01",5442.4
"2006-10-02",5638.3
"2006-10-03",6031
"2006-10-04",5793.4
"2006-10-05",4370.6
"2006-10-06",4007.3
"2006-10-07",1584.2
"2006-10-08",3675.5
"2006-10-09",4309.3
"2006-10-10",5775.6
"2006-10-11",6024.7
"2006-10-12",5933.2
