"date","era5_ghi"
"2006-01-01",1279.7
"2006-01-02",420.6
"2006-01-03",708.9
"2006-01-04",493.5
"2006-01-05",1146.2
"2006-01-06",1117.6
"2006-01-07",1600.1
"2006-01-08",1419.4
"2006-01-09",2207
"2006-01-10",2488.5
"2006-01-11",996.4
"2006-01-12",2616.3
"2006-01-13",2450
"2006-01-14",587.9
"2006-01-15",2969.4
"2006-01-16",2659.1
"2006-01-17",816.9
"2006-01-18",1241.8
"2006-01-19",1962
"2006-01-20",1741
"2006-01-21",1477.3
"2006-01-22",2599.8
"2006-01-23",901.3
"2006-01-24",2861.5
"2006-01-25",2074.3
"2006-01-26",3351.9
"2006-01-27",3269.7
"2006-01-28",3146.1
"2006-01-29",831.6
"2006-01-30",1773.3
"2006-01-31",1794.4
"2006-02-01",2139.8
"2006-02-02",1554.8
"2006-02-03",1295.1
"2006-02-04",561.2
"2006-02-05",2835.1
"2006-02-06",2534
"2006-02-07",1991.3
"2006-02-08",2109.9
"2006-02-09",3488.7
"2006-02-10",2595.1
"2006-02-11",2388.8
"2006-02-12",2779
"2006-02-13",2683.9
"2006-02-14",3878.9
"2006-02-15",3996.5
"2006-02-16",2857.8
"2006-02-17",3197.8
"2006-02-18",3652.4
"2006-02-19",4527.7
"2006-02-20",4429
"2006-02-21",4199.1
"2006-02-22",3817.8
"2006-02-23",3909.6
"2006-02-24",4520.8
"2006-02-25",3648.7
"2006-02-26",4459.1
"2006-02-27",3573.3
"2006-02-28",4985.9
"2006-03-01",4981
"2006-03-02",531.4
"2006-03-03",4993.2
"2006-03-04",5128.6
"2006-03-05",5171.8
"2006-03-06",4173.4
"2006-03-07",5325.2
"2006-03-08",3685.4
"2006-03-09",2017.9
"2006-03-10",2609.4
"2006-03-11",4062.5
"2006-03-12",1459.4
"2006-03-13",3013.7
"2006-03-14",3714.1
"2006-03-15",4343.7
"2006-03-16",5580.3
"2006-03-17",5894.2
"2006-03-18",5465.1
"2006-03-19",5337.4
"2006-03-20",4369.4
"2006-03-21",3772.9
"2006-03-22",3649.2
"2006-03-23",3751.8
"2006-03-24",2978.7
"2006-03-25",4922.1
"2006-03-26",4367.1
"2006-03-27",6413.8
"2006-03-28",3959.3
"2006-03-29",4162.9
"2006-03-30",5946
"2006-03-31",5611.8
"2006-04-01",2770.2
"2006-04-02",6642.8
"2006-04-03",2088.7
"2006-04-04",5440
"2006-04-05",4798.3
"2006-04-06",5918.4
"2006-04-07",2266.1
"2006-04-08",3852.1
"2006-04-09",7085.1
"2006-04-10",6952
"2006-04-11",6841.1
"2006-04-12",4139.8
"2006-04-13",6761
"2006-04-14",2554.6
"2006-04-15",6180.1
"2006-04-16",6562.8
"2006-04-17",7009.6
"2006-04-18",7176
"2006-04-19",7329
"2006-04-20",7428.6
"2006-04-21",5869.1
"2006-04-22",433.9
"2006-04-23",3766.2
"2006-04-24",3744.7
"2006-04-25",4938.1
"2006-04-26",7495.4
"2006-04-27",6698.9
"2006-04-28",7906.7
"2006-04-29",7945.1
"2006-04-30",7050.8
"2006-05-01",7315.3
"2006-05-02",7865.8
"2006-05-03",5818.7
"2006-05-04",6740.6
"2006-05-05",6828.9
"2006-05-06",6361.9
"2006-05-07",7087.5
"2006-05-08",4413.8
"2006-05-09",7140.9
"2006-05-10",7976.5
"2006-05-11",1591.3
"2006-05-12",5146.1
"2006-05-13",5802.9
"2006-05-14",4179.2
"2006-05-15",1520.8
"2006-05-16",5539.4
"2006-05-17",4793.9
"2006-05-18",4875.3
"2006-05-19",6011.4
"2006-05-20",5939.2
"2006-05-21",5792.9
"2006-05-22",4403.6
"2006-05-23",6815.9
"2006-05-24",7760.6
"2006-05-25",3393.3
"2006-05-26",3153.4
"2006-05-27",4462.4
