"date","era5_ghi"
"2006-01-01",6884.8
"2006-01-02",5928.6
"2006-01-03",6491.1
"2006-01-04",6234.5
"2006-01-05",7285.4
"2006-01-06",7083.1
"2006-01-07",7587.2
"2006-01-08",5839.8
"2006-01-09",6553.2
"2006-01-10",6324.7
"2006-01-11",7467
"2006-01-12",7710.2
"2006-01-13",6440.3
"2006-01-14",6383.2
"2006-01-15",7943.7
"2006-01-16",7987.9
"2006-01-17",7404.7
"2006-01-18",6914.7
"2006-01-19",5801.8
"2006-01-20",6625.4
"2006-01-21",4857.9
"2006-01-22",5882.5
"2006-01-23",7558.5
"2006-01-24",7051.8
"2006-01-25",7771.5
"2006-01-26",7787.5
"2006-01-27",7646.9
"2006-01-28",7412.4
"2006-01-29",7071
"2006-01-30",6877.2
"2006-01-31",6947.3
"2006-02-01",6649.5
"2006-02-02",6909.7
"2006-02-03",6148.2
"2006-02-04",6825.6
"2006-02-05",6362.9
"2006-02-06",5845.7
"2006-02-07",5987.1
"2006-02-08",6556.6
"2006-02-09",6104.8
"2006-02-10",5902.2
"2006-02-11",5388.6
"2006-02-12",6059.2
"2006-02-13",4457.8
"2006-02-14",6394.6
"2006-02-15",4955.7
"2006-02-16",5213.9
"2006-02-17",7227.6
"2006-02-18",5078.2
"2006-02-19",6031.3
"2006-02-20",6942.7
"2006-02-21",6705.2
"2006-02-22",6422.8
"2006-02-23",6158.4
"2006-02-24",5652.6
"2006-02-25",5421.4
"2006-02-26",5696.4
"2006-02-27",5984.4
"2006-02-28",5238.7
"2006-03-01",5617
"2006-03-02",6109.2
"2006-03-03",6412
"2006-03-04",6296.3
"2006-03-05",6265.8
"2006-03-06",5695
"2006-03-07",6029.1
"2006-03-08",4773.2
"2006-03-09",5200.3
"2006-03-10",2725.5
"2006-03-11",4446.3
"2006-03-12",5146.2
"2006-03-13",4932.1
"2006-03-14",6081.8
"2006-03-15",6762.4
"2006-03-16",5607
"2006-03-17",6090.2
"2006-03-18",5526.5
"2006-03-19",4119.6
"2006-03-20",5403.1
"2006-03-21",6636.4
"2006-03-22",6723.3
"2006-03-23",4606.1
"2006-03-24",4651.7
"2006-03-25",5118.8
"2006-03-26",4447.3
"2006-03-27",5098.8
"2006-03-28",3806.9
"2006-03-29",2324.1
"2006-03-30",2264.8
"2006-03-31",5641.7
"2006-04-01",3539.6
"2006-04-02",5016.3
"2006-04-03",5404.1
"2006-04-04",4506.4
"2006-04-05",3794.7
"2006-04-06",4794.2
"2006-04-07",4838.3
"2006-04-08",5333.1
"2006-04-09",6327.1
"2006-04-10",5303
"2006-04-11",5563.8
"2006-04-12",4733.9
"2006-04-13",5095.3
"2006-04-14",5362.7
