"date","era5_ghi"
"2006-01-01",9622.2
"2006-01-02",9017.9
"2006-01-03",8808.4
"2006-01-04",8999.6
"2006-01-05",8161.4
"2006-01-06",8072.1
"2006-01-07",6750.7
"2006-01-08",8332.8
"2006-01-09",9377.4
"2006-01-10",9004.8
"2006-01-11",7798.8
"2006-01-12",9115.1
"2006-01-13",8688.6
"2006-01-14",7741.3
"2006-01-15",3290.3
"2006-01-16",5186.2
"2006-01-17",6053.2
"2006-01-18",5942
"2006-01-19",7275.4
"2006-01-20",6101.9
"2006-01-21",5672.9
"2006-01-22",7402.3
"2006-01-23",7230.3
"2006-01-24",8232
"2006-01-25",8344.7
"2006-01-26",7973.8
"2006-01-27",7987.6
"2006-01-28",7978
"2006-01-29",7748.1
"2006-01-30",6764.9
"2006-01-31",7468.6
"2006-02-01",4615
"2006-02-02",6162.8
"2006-02-03",6268
"2006-02-04",6240.8
"2006-02-05",5801.8
"2006-02-06",5853.1
"2006-02-07",5132.1
"2006-02-08",6117.1
"2006-02-09",6059.4
"2006-02-10",4600.8
"2006-02-11",5333
"2006-02-12",5475.7
"2006-02-13",3635.5
"2006-02-14",5902.4
"2006-02-15",4855.4
"2006-02-16",4625.3
"2006-02-17",2881.1
"2006-02-18",3973.2
"2006-02-19",5838.5
"2006-02-20",5119.4
"2006-02-21",3569.6
"2006-02-22",4681.6
"2006-02-23",5020.7
"2006-02-24",4893.1
"2006-02-25",4791.8
"2006-02-26",4399.3
"2006-02-27",4741.4
"2006-02-28",4656.7
"2006-03-01",4218.6
"2006-03-02",3614.3
"2006-03-03",2076.3
"2006-03-04",4341.2
"2006-03-05",2762.2
"2006-03-06",2247.5
"2006-03-07",1710.9
"2006-03-08",1886.5
"2006-03-09",3672.7
"2006-03-10",3810.5
"2006-03-11",3480.8
"2006-03-12",3414.1
"2006-03-13",1992.8
"2006-03-14",2579.3
"2006-03-15",2181.7
"2006-03-16",1566.3
"2006-03-17",1571.4
"2006-03-18",1552.2
"2006-03-19",2798.6
"2006-03-20",2807.4
"2006-03-21",2659.1
"2006-03-22",2146.1
"2006-03-23",2610.6
"2006-03-24",1998.7
"2006-03-25",1319.7
"2006-03-26",1241.4
"2006-03-27",988.2
"2006-03-28",1156.2
"2006-03-29",1191.4
"2006-03-30",984.4
"2006-03-31",1429.2
"2006-04-01",1762.4
"2006-04-02",1629.5
"2006-04-03",1001.5
"2006-04-04",708.7
"2006-04-05",887.9
"2006-04-06",592.7
"2006-04-07",688.2
"2006-04-08",1211.5
"2006-04-09",618.1
"2006-04-10",439.9
"2006-04-11",834.6
"2006-04-12",977
"2006-04-13",1076.6
"2006-04-14",533.1
"2006-04-15",636.4
"2006-04-16",671.5
"2006-04-17",827.9
"2006-04-18",383.1
"2006-04-19",687.3
"2006-04-20",687.8
"2006-04-21",456.4
"2006-04-22",571.9
"2006-04-23",273.4
"2006-04-24",355.5
"2006-04-25",495.5
"2006-04-26",438.2
"2006-04-27",424.1
"2006-04-28",400
"2006-04-29",335.4
"2006-04-30",308.1
"2006-05-01",243.8
"2006-05-02",158
"2006-05-03",151.8
"2006-05-04",232.6
"2006-05-05",151.8
"2006-05-06",94.8
"2006-05-07",160.7
"2006-05-08",65.9
"2006-05-09",66.7
"2006-05-10",61.6
"2006-05-11",55.9
"2006-05-12",57.2
"2006-05-13",46
"2006-05-14",62.7
"2006-05-15",33
"2006-05-16",39.9
"2006-05-17",35.1
"2006-05-18",21.2
"2006-05-19",19
"2006-05-20",10.6
"2006-05-21",6.2
"2006-05-22",4.6
"2006-05-23",3.9
"2006-05-24",2.3
"2006-05-25",0.8
"2006-05-26",0.2
"2006-05-27",0
"2006-05-28",0
"2006-05-29",0
"2006-05-30",0
"2006-05-31",0
"2006-06-01",0
"2006-06-02",0
"2006-06-03",0
"2006-06-04",0
"2006-06-05",0
"2006-06-06",0
"2006-06-07",0
"2006-06-08",0
"2006-06-09",0
"2006-06-10",0
"2006-06-11",0
"2006-06-12",0
"2006-06-13",0
"2006-06-14",0
"2006-06-15",0
"2006-06-16",0
"2006-06-17",0
"2006-06-18",0
"2006-06-19",0
"2006-06-20",0
"2006-06-21",0
"2006-06-22",0
"2006-06-23",0
"2006-06-24",0
"2006-06-25",0
"2006-06-26",0
"2006-06-27",0
"2006-06-28",0
"2006-06-29",0
"2006-06-30",0
"2006-07-01",0
"2006-07-02",0
"2006-07-03",0
"2006-07-04",0
"2006-07-05",0
"2006-07-06",0
"2006-07-07",0
"2006-07-08",0
"2006-07-09",0
"2006-07-10",0
"2006-07-11",0
"2006-07-12",0
"2006-07-13",0
"2006-07-14",0
"2006-07-15",0
"2006-07-16",0
"2006-07-17",0.1
"2006-07-18",0.6
"2006-07-19",1.6
"2006-07-20",3.8
"2006-07-21",4.9
"2006-07-22",9.2
"2006-07-23",14.9
"2006-07-24",20.8
"2006-07-25",28.6
"2006-07-26",36
"2006-07-27",38.6
"2006-07-28",44.5
"2006-07-29",60.7
"2006-07-30",76
"2006-07-31",78.3
"2006-08-01",90.5
"2006-08-02",92.8
"2006-08-03",96.8
"2006-08-04",140.3
"2006-08-05",141.7
"2006-08-06",177.1
"2006-08-07",139.7
"2006-08-08",100.2
"2006-08-09",130.2
"2006-08-10",227.9
"2006-08-11",259.8
"2006-08-12",249.7
"2006-08-13",300.2
"2006-08-14",221
"2006-08-15",278.8
"2006-08-16",187
"2006-08-17",222
"2006-08-18",314.3
"2006-08-19",517.7
"2006-08-20",546.2
"2006-08-21",511.1
"2006-08-22",321.8
"2006-08-23",707.9
"2006-08-24",674
"2006-08-25",664
"2006-08-26",364
"2006-08-27",567.7
"2006-08-28",783.5
"2006-08-29",595.2
"2006-08-30",639.7
"2006-08-31",915
"2006-09-01",1109.1
"2006-09-02",917.5
"2006-09-03",865.8
"2006-09-04",757.2
"2006-09-05",886
"2006-09-06",1505.8
"2006-09-07",1496.8
"2006-09-08",1306.1
"2006-09-09",1672.6
"2006-09-10",1825.8
"2006-09-11",1809.6
"2006-09-12",1903.6
"2006-09-13",1585.7
"2006-09-14",1766.1
"2006-09-15",2096.1
"2006-09-16",2232.2
"2006-09-17",2149.5
"2006-09-18",2239.1
"2006-09-19",2476.3
"2006-09-20",2544.5
"2006-09-21",2521.2
"2006-09-22",1755.4
"2006-09-23",1744.1
"2006-09-24",2778.3
"2006-09-25",2163.5
"2006-09-26",2278.6
"2006-09-27",2543.6
"2006-09-28",3000.4
"2006-09-29",3431.9
"2006-09-30",3149.2
"2006-10-01",3326
"2006-10-02",3584.4
"2006-10-03",3249
"2006-10-04",2576.7
"2006-10-05",2863.2
"2006-10-06",3880.2
"2006-10-07",3227.7
"2006-10-08",1457
"2006-10-09",1778.9
"2006-10-10",3773.3
"2006-10-11",4231
"2006-10-12",3874.7
"2006-10-13",4640.7
"2006-10-14",4762.6
"2006-10-15",3850.8
"2006-10-16",3550
"2006-10-17",3362.5
"2006-10-18",3574
"2006-10-19",3747.2
"2006-10-20",4992
"2006-10-21",4953.8
"2006-10-22",4347.8
"2006-10-23",5768.8
"2006-10-24",5976.1
"2006-10-25",6211.2
"2006-10-26",5663.6
"2006-10-27",4898.9
"2006-10-28",4265.3
"2006-10-29",5699
"2006-10-30",5709.1
"2006-10-31",6394.3
"2006-11-01",6604.3
"2006-11-02",6265.1
"2006-11-03",6794.1
"2006-11-04",5977.8
"2006-11-05",7202.3
"2006-11-06",6664.6
"2006-11-07",7381.3
"2006-11-08",6715.5
"2006-11-09",7005.7
"2006-11-10",7726.4
"2006-11-11",7755.6
"2006-11-12",7873.9
"2006-11-13",7914.9
"2006-11-14",7955.6
"2006-11-15",8181.6
