"date","era5_ghi"
"2006-01-01",2111.1
"2006-01-02",594.8
"2006-01-03",2783.4
"2006-01-04",3000.8
"2006-01-05",2034.8
"2006-01-06",2315.1
"2006-01-07",2948.7
"2006-01-08",3086.4
"2006-01-09",3142.2
"2006-01-10",1883.9
"2006-01-11",3203.8
"2006-01-12",3336.9
"2006-01-13",849.6
"2006-01-14",1095.2
"2006-01-15",3265.5
"2006-01-16",1569.2
"2006-01-17",2639
"2006-01-18",3007.3
"2006-01-19",3374.7
"2006-01-20",3380.4
"2006-01-21",672.1
"2006-01-22",3480.8
"2006-01-23",3658.4
"2006-01-24",3772
"2006-01-25",3580.9
"2006-01-26",3803.2
"2006-01-27",3623.4
"2006-01-28",3587.1
"2006-01-29",3813.3
"2006-01-30",2088.3
"2006-01-31",1745.6
"2006-02-01",282.8
"2006-02-02",2659.4
"2006-02-03",3504.5
"2006-02-04",3919.5
"2006-02-05",4237
"2006-02-06",2046.8
"2006-02-07",1673.6
"2006-02-08",3993
"2006-02-09",4367.9
"2006-02-10",4448.2
"2006-02-11",4381.7
"2006-02-12",4118.2
"2006-02-13",4524.9
"2006-02-14",4002.4
"2006-02-15",4382.2
"2006-02-16",915.6
"2006-02-17",1038.3
"2006-02-18",3561.8
"2006-02-19",2771.2
"2006-02-20",1450.2
"2006-02-21",1905.9
"2006-02-22",3913
"2006-02-23",2659.2
"2006-02-24",1307.7
"2006-02-25",4316.7
"2006-02-26",534.9
"2006-02-27",3069.8
"2006-02-28",3624.1
"2006-03-01",756.1
"2006-03-02",1344.6
"2006-03-03",3861.4
"2006-03-04",4904.7
"2006-03-05",5311.4
"2006-03-06",3267.3
"2006-03-07",2442.9
"2006-03-08",5469.2
"2006-03-09",5090.5
"2006-03-10",1968.4
"2006-03-11",5516.5
"2006-03-12",3891.9
"2006-03-13",3677.3
"2006-03-14",5357.3
"2006-03-15",6049.1
"2006-03-16",4302.5
"2006-03-17",3903.3
"2006-03-18",5078.6
"2006-03-19",3234.8
"2006-03-20",5427.5
"2006-03-21",6061
"2006-03-22",5031.8
"2006-03-23",3556.7
"2006-03-24",5131.6
"2006-03-25",5983.1
"2006-03-26",3181
"2006-03-27",5480.9
"2006-03-28",4841.4
"2006-03-29",6309.2
"2006-03-30",5976.2
"2006-03-31",5432.4
"2006-04-01",6675.2
"2006-04-02",2899.6
"2006-04-03",6034.5
"2006-04-04",6634.7
"2006-04-05",1106.6
"2006-04-06",6998
"2006-04-07",3149.4
"2006-04-08",5317.4
"2006-04-09",6345.8
"2006-04-10",1902.1
"2006-04-11",2013.8
"2006-04-12",1767.1
"2006-04-13",2665.8
"2006-04-14",3286.5
"2006-04-15",5796.4
"2006-04-16",1441.7
"2006-04-17",6977.1
"2006-04-18",7208.1
"2006-04-19",4011.5
"2006-04-20",3370.8
"2006-04-21",5751
"2006-04-22",6701.6
"2006-04-23",3565.6
"2006-04-24",5488.5
"2006-04-25",5111.6
"2006-04-26",5354
"2006-04-27",3921.3
"2006-04-28",7018.7
"2006-04-29",4150.2
"2006-04-30",6131
"2006-05-01",7145.5
"2006-05-02",1465.2
"2006-05-03",7516.6
"2006-05-04",5974
"2006-05-05",7496.5
"2006-05-06",7003.1
"2006-05-07",2163.1
"2006-05-08",2351.2
"2006-05-09",4319.3
"2006-05-10",2222
"2006-05-11",1073.3
"2006-05-12",6809.1
"2006-05-13",1362.4
"2006-05-14",2888.9
"2006-05-15",4857.3
"2006-05-16",2513.3
"2006-05-17",2651.1
"2006-05-18",2774.2
"2006-05-19",1380.2
"2006-05-20",4687.6
"2006-05-21",7115.6
"2006-05-22",6838.1
"2006-05-23",2725.8
"2006-05-24",6296.1
"2006-05-25",7074.3
"2006-05-26",3783
"2006-05-27",3779
"2006-05-28",2204.1
"2006-05-29",4670
"2006-05-30",6170.6
"2006-05-31",7699.4
"2006-06-01",6987.8
"2006-06-02",4548.6
"2006-06-03",4611
"2006-06-04",5719.5
"2006-06-05",4721.7
"2006-06-06",4716.2
"2006-06-07",5798.1
"2006-06-08",3661.4
"2006-06-09",1022.3
"2006-06-10",5426.8
